contractNo,desc,vendorID,vendorName,agency,beginDate,endDate,totalContractAmt,amtSpent,amtRemaining
P513770:0,Courier Services,00000451,Falcon Express Transportation,HEALTH,07/01/2010,09/30/2011,$20000.00,$16792.62,$3207.38
P513787:0,Tire Repair and Maintenance Supplies,00002040,CRW Parts,GENERAL SERVICES,07/15/2010,07/14/2013,$30000.00,$0.00,$30000.00
P513788:0,Tire Repair and Maintenance Supplies,00002171,The Waters Company,GENERAL SERVICES,07/15/2010,07/14/2013,$70000.00,$18946.30,$51053.70
P513807:0,Janitorial Services- Branch #18,00002055,Jani-King of Baltimore,ENOCH PRATT FREE LIBRARY,07/01/2010,06/30/2011,$7044.00,$7044.00,$0.00
P513841:0,Refuse Collection & Disposal BCC,00003263,Allied Waste/BFI Waste Services,CONVENTION COMPLEX,07/01/2010,06/30/2012,$220000.00,$186156.50,$33843.50
P513870:0,Identification Cards & Parts,00000231,IDenticard Systems Worlwide Inc,FIRE,07/01/2010,06/30/2012,$5000.00,$2358.49,$2641.51
P513871:0,Computer Repair,00001537,Higdon Inc. t/a Graymar Business Solutions,COURT: ORPHANS COURT,07/01/2010,06/30/2011,$1000.01,$1000.01,$0.00
P513874:0,Grass Cutting E-33 and Harford & Oliver,00002418,"Tote-It, Incorporated",FIRE,07/01/2010,06/30/2011,$3740.00,$3740.00,$0.00
P513875:0,Purification Filter Air Compressor,00001359,LBS ENTERPRISES INC.,FIRE,07/01/2010,06/30/2011,$4500.00,$2760.00,$1740.00
P513880:0,Plastic Pipets,00001451,"BURRELL SCIENTIFIC, INC",POLICE,07/01/2010,06/30/2011,$1191.20,$595.60,$595.60
P513917:0,Medical Supplies,00001131,southeastern emergency equipment,HEALTH,07/02/2010,06/30/2011,$23851.87,$4919.37,$18932.50
P513918:0,Maintenance for IVIC Database,00000671,Excalibur Computer Systems and Software,TRANSPORTATION,07/15/2010,07/14/2012,$110000.00,$87195.00,$22805.00
P513929:0,"Materials Used for Signs, Banners, Posters, etc",00016339,TyrrellTech,PUBLIC WORKS,07/14/2010,07/13/2012,$53000.00,$3230.65,$49769.35
P513931:0,childcare for neighborhood action team meetings,00015333,Francine's Child Care Solutions LLC,HEALTH,08/02/2010,09/30/2010,$1125.00,$1125.00,$0.00
P513966:0,Baltimore City Building Demolition,00000603,K&K Adams,City-Wide,07/10/2010,07/09/2013,$4000000.00,$664253.21,$3335746.79
P513967:0,Baltimore City Building Demolition,00002237,"P & J Contracting Company, Inc.",City-Wide,07/10/2010,07/09/2013,$10000000.00,$6629233.77,$3370766.23
P513978:0,oxy equip repair/maintenance,00002485,Bound Tree Medical LLC,FIRE,07/13/2010,07/12/2012,$4500.00,$494.77,$4005.23
P514005:0,Provide Various Rental Vehicles for the City of Baltimore,00001193,All Car Leasing,City-Wide,08/01/2010,07/31/2012,$3500000.00,$3212280.72,$287719.28
P514006:0,Provide Various Rental Vehicles for the City of Baltimore,00001419,Enterprise Leasing Company of Baltimore,City-Wide,08/01/2010,07/31/2012,$500000.00,$0.00,$500000.00
P514009:0,Maintain/Planting for City Hall for 7/10-6/11,00001379,AMBIUS INC,GENERAL SERVICES,07/01/2010,06/30/2011,$4140.00,$4140.00,$0.00
P514017:0,Car Wash Soap for Fallsway Sub. Station,00002285,Zep Manufacturing,GENERAL SERVICES,07/15/2010,07/14/2011,$4999.00,$3128.40,$1870.60
P514023:0,Telephone Investigation System Maint.,00001896,SyTech Corporation,POLICE,09/01/2010,08/31/2011,$30170.00,$30170.00,$0.00
P514024:0,Equipment Maintenance ,00003174,Agilent Technologies,POLICE,07/14/2010,07/13/2011,$25584.00,$25584.00,$0.00
P514025:0,Range Maintenance,00007287,Range Maintenance Inc.,POLICE,07/14/2010,01/31/2011,$35998.00,$34143.25,$1854.75
P514075:0,LAUNDERING OF LAB COATS,00002717,Odonnell Cleaners,PUBLIC WORKS,07/21/2010,07/21/2011,$3168.25,$2864.25,$304.00
P514100:0,Framing Supplies & Services,00001199,The Furst Brothers Company,POLICE,07/14/2010,07/13/2011,$19500.00,$7903.70,$11596.30
P514142:0,Supplies of Printing Materials,00000287,"Presstek, Inc.",BUREAU OF PURCHASES,07/23/2010,07/19/2011,$4000.00,$3430.43,$569.57
P514153:0,Maint. Agreement Mail Ins Sys ,00002228,Pitney Bowes,PUBLIC WORKS,07/14/2010,07/12/2012,$44718.00,$44718.00,$0.00
P514166:0,Various electrostatic ink & supplies,00007210,Braden Sutphin Ink Co.,BUREAU OF PURCHASES,08/01/2010,07/31/2011,$2500.00,$527.50,$1972.50
P514167:0,Various Waterworks Repair Parts,00002543,HD SUPPLY,PUBLIC WORKS,07/01/2010,06/30/2012,$12500.00,$0.00,$12500.00
P514168:0,Various Waterworks Repair Parts,00003104,"L/B Water Service, Inc.",PUBLIC WORKS,07/01/2010,06/30/2012,$12500.00,$767.79,$11732.21
P514186:0,Laminating Services,00005881,"Capital Summit Laminators, Inc",BUREAU OF PURCHASES,08/01/2010,07/31/2011,$4000.00,$1090.22,$2909.78
P514192:0,Bio-Medical & Biohazard Waste Removal,00002117,"BIOMEDICAL WASTE SERVICES, INC",POLICE,07/28/2010,07/26/2012,$20000.00,$20000.00,$0.00
P514193:0,Identification Kits,00003708,Abacus Diagnostics,POLICE,07/30/2010,07/29/2011,$11940.00,$11940.00,$0.00
P514198:0,Annual Maint. for Canon Scanners,00001996,"Maryland Micrographic Service, Inc.",POLICE,09/15/2010,09/14/2011,$6570.00,$6570.00,$0.00
P514203:0,FOAM CORE- GRAPHICS,00003460,MARTIN SUPPLY INC.,STATE'S ATTORNEY,08/01/2010,07/31/2011,$4537.50,$4537.50,$0.00
P514205:0,Gatorade ,00002231,vend central inc,FIRE,07/30/2010,07/29/2011,$4996.65,$2142.60,$2854.05
P514219:0,Annual Maintenance for Noritsu Equipment,00006247,Noritsu America Corporation,POLICE,07/21/2010,07/20/2012,$44402.00,$36057.43,$8344.57
P514222:0,FLUZONE ,00004891,sanofi pasteur Inc.,HEALTH,08/01/2010,07/31/2011,$24610.05,$24610.05,$0.00
P514231:0,Consumables for Drug Analysis,00006011,VWR International,POLICE,08/02/2010,11/18/2011,$5000.00,$4916.14,$83.86
P514232:0,Ethanol,00001189,Warner Graham Co.,POLICE,08/02/2010,08/01/2011,$2778.40,$1389.20,$1389.20
P514252:0,Process Camera System O.E.M. P&S,00006722,G E Richards' Graphic Supply,POLICE,08/15/2010,08/14/2011,$1500.00,$0.00,$1500.00
P514278:0,Snow Emergency Food For Fleet Management Division,00008904,Prima Foods,GENERAL SERVICES,08/15/2010,08/14/2011,$4900.00,$1065.17,$3834.83
P514282:0,3-part pre-collated receipt paper ,00003742,RIS the paper house DBA Ariva Distribution Inc.,TRANSPORTATION,08/05/2010,08/04/2011,$4999.00,$940.00,$4059.00
P514284:0,Getinge Autoclave Service Contract,00000272,"Getinge USA, Inc.",PUBLIC WORKS,08/01/2010,07/31/2011,$7200.00,$7200.00,$0.00
P514297:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00003823,The Baltimore Auto Supply Company,GENERAL SERVICES,08/11/2010,08/10/2013,$1045000.00,$719038.96,$325961.04
P514298:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00005058,"UNI - SELECT, INC",GENERAL SERVICES,08/11/2010,08/10/2013,$360000.00,$66873.00,$293127.00
P514299:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00000444,Quality Automotive Whse,GENERAL SERVICES,08/11/2010,08/10/2013,$580000.00,$523224.79,$56775.21
P514300:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00016065,PA Southern LLC.,GENERAL SERVICES,08/11/2010,08/10/2013,$120000.00,$11064.61,$108935.39
P514301:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00015750,FLEETPRIDE INC,GENERAL SERVICES,07/01/2010,06/30/2013,$108000.00,$47680.69,$60319.31
P514302:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00003207,"Salvo Limited Partnership, LLLP",GENERAL SERVICES,08/11/2010,08/10/2013,$101000.00,$9552.74,$91447.26
P514303:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00012227,ROK Brothers Inc.,GENERAL SERVICES,08/11/2010,08/10/2013,$204000.00,$135117.45,$68882.55
P514304:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00005871,Service Parts Company DBA Papa Auto Parts,GENERAL SERVICES,08/11/2010,08/10/2013,$44000.00,$4868.32,$39131.68
P514305:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00002040,CRW Parts,GENERAL SERVICES,08/11/2010,08/10/2013,$7500.00,$0.00,$7500.00
P514306:0,Aftermarket Parts and Supplies for Cars and Light Trucks ,00002744,Globe Electric Supply Co. ,GENERAL SERVICES,08/11/2010,08/10/2013,$6500.00,$0.00,$6500.00
P514312:0,Testing/Cert. of Biological Safety Cabinets,00008469,ENV Services Inc,POLICE,08/10/2010,08/09/2012,$1530.00,$1235.00,$295.00
P514315:0,Vehicle Keys,00016879,Armen Lock LLC,POLICE,08/10/2010,08/09/2011,$4900.00,$4680.00,$220.00
P514336:0,EZ1 Robot Service Contract,00003253,"Qiagen, Inc.",POLICE,11/26/2010,11/25/2013,$16461.60,$16461.60,$0.00
P514341:0,Support for Nicolet FTIRs,00001790,Thermo Electron North America LLC,POLICE,08/03/2010,08/02/2012,$14954.80,$14565.40,$389.40
P514371:0,Air Conditioners,00000920,Sears Commercial,FIRE,08/11/2010,08/10/2011,$30000.00,$28517.00,$1483.00
P514382:0, IDEXX Products - Montebello,00005118,"IDEXX Distribuition, Inc",PUBLIC WORKS,07/01/2010,06/30/2011,$28906.00,$28630.00,$276.00
P514389:0,Electronic and Pneumatic Parts,00001463,"Jobe & Company, Inc.",PUBLIC WORKS,09/01/2010,09/30/2011,$22984.00,$22878.20,$105.80
P514391:0,Thermoplastic Pavement Markings,00000349,"Flint Trading, Inc.",TRANSPORTATION,08/25/2010,08/24/2011,$23246.80,$11306.00,$11940.80
P514393:0,Coin Operated Snack Vending Services: Revenue Contract,00000300,Compass Group,BUREAU OF PURCHASES,08/31/2010,08/30/2015,$0.01,$0.00,$0.01
P514398:0,EHD/ STAT LAB SUPPLIES,00002734,Fisher Scientific,HEALTH,09/01/2010,08/31/2012,$22568.87,$11140.19,$11428.68
P514406:0,EHD STD CLINIC SUPPLIES,00002685,cole medical inc,HEALTH,09/01/2010,08/31/2012,$25222.21,$17456.43,$7765.78
P514465:0,EHD/DHD STD MEDICATION,00000990,"Correct Rx Pharmacy Services, Inc.",HEALTH,09/01/2010,08/31/2012,$27517.83,$25221.14,$2296.69
P514470:0,Contraceptives,00003887,R&S Northeast LLC,HEALTH,08/18/2010,08/17/2011,$70300.00,$66546.21,$3753.79
P514475:0,Ammunition for Police & Sheriff's Departments,00000535,"Safety League Inc, dba Atlantic Tactical",POLICE,08/11/2010,08/10/2012,$500000.00,$315798.20,$184201.80
P514475:0,Ammunition for Police & Sheriff's Departments,00000535,"Safety League Inc, dba Atlantic Tactical",SHERIFF,08/11/2010,08/10/2012,$50000.00,$0.00,$50000.00
P514476:0,Ammunition for Police & Sheriff's Departments,00002595,Firing Line Inc,POLICE,08/11/2010,08/10/2012,$100000.00,$0.00,$100000.00
P514476:0,Ammunition for Police & Sheriff's Departments,00002595,Firing Line Inc,SHERIFF,08/11/2010,08/10/2012,$100000.00,$55819.00,$44181.00
P514480:0,LIMS H/W & S/W System Annual Support,00004287,"Data Unlimited International, Inc.",POLICE,09/02/2010,08/12/2012,$1200000.00,$551794.36,$648205.64
P514489:0,equip for fire apparatus-Mason-Dixon,00002272,Mason-Dixon Fire Equipment,FIRE,08/23/2010,08/22/2011,$4995.00,$4972.50,$22.50
P514494:0,Kodak Imagelink 1000 W/S Cartridges,00001250,"PC Mall Gov, Inc.",POLICE,08/18/2010,10/14/2011,$9960.00,$4980.00,$4980.00
P514516:0,EHD/DHD Bicillin Medication,00011120,McKesson,HEALTH,08/18/2010,08/17/2011,$10330.00,$10330.00,$0.00
P514550:0,Pedestrian Crossing Signs,00004316,TAPCO (TRAFFIC & PARKING CONTROL CO. INC.),TRANSPORTATION,08/25/2010,08/24/2011,$23143.00,$13885.80,$9257.20
P514551:0, OEM Parts and Service for Onan and Cummins Generators,00004106,"Cummins Power Systems, Inc",GENERAL SERVICES,08/24/2010,08/23/2013,$48000.00,$17928.10,$30071.90
P514553:0,Oracle Software Updates & Supports,00017855,Oracle America Inc,PUBLIC WORKS,07/01/2010,06/30/2011,$81509.59,$81509.59,$0.00
P514560:0,"Respirators, Replacement Parts and Fit Test Services ",00001522,"Safeware, Inc",City-Wide,07/07/2010,07/06/2012,$163791.23,$3016.52,$160774.71
P514567:0,Turnout Gear Cleaning,00000374,Lion Apparel,FIRE,08/25/2010,08/24/2011,$295000.00,$292822.72,$2177.28
P514570:0,Testing and Analysis,00002782,"Microbac Laboratories, Inc.",PUBLIC WORKS,08/25/2010,08/25/2011,$5564.00,$5143.00,$421.00
P514571:0,"RESTOCK-MIXING CHAMBER, CONTROLLER",00003191,"Environmental Sevice & Equipment Company, Inc.",PUBLIC WORKS,09/01/2010,08/31/2011,$12440.00,$12440.00,$0.00
P514585:0,EII Program EHD/DHD,00002857,Mckesson,HEALTH,08/18/2010,08/17/2012,$44070.38,$39921.59,$4148.79
P514587:0,upgrade on maintenance,00003819,"CA, Inc.",MAYOR'S OFFICE OF INFORMATION TECHNOLOGY,08/25/2010,08/24/2013,$116495.79,$77663.86,$38831.93
P514588:0,CONSUMABLE PARTS,00003389,"Skalar, Inc.",PUBLIC WORKS,08/18/2010,08/17/2011,$50931.00,$12111.00,$38820.00
P514601:0,DNA Investigator Kits,00003253,"Qiagen, Inc.",POLICE,09/01/2010,08/31/2011,$53977.60,$53961.49,$16.11
P514605:0,Reagents/Consumables for DNA Lab,00003269,Applied Biosystems,POLICE,09/01/2010,12/31/2011,$206000.00,$203141.19,$2858.81
P514611:0,DNA Backlog Reduction Program FY09 - PowerPlex Amp. Kits,00006157,Promega Corporation,POLICE,09/01/2010,08/31/2011,$0.00,$66460.00,$-66460.00
P514612:0,Consumables & Reagents for DNA Lab,00006157,Promega Corporation,POLICE,09/01/2010,08/31/2011,$321390.00,$9426.00,$311964.00
P514635:0,Preventative Maintenance-Operable walls,00006104,"Modern Door & Equipment Sales, Inc",CONVENTION COMPLEX,08/11/2010,07/31/2013,$447360.00,$75189.45,$372170.55
P514637:0,Fire Hose Couplings & Repair Service,00001699,F. L. Anderson Company,FIRE,09/01/2010,08/31/2011,$15000.00,$11838.25,$3161.75
P514638:0,Bottled Air & Gas,00007419,Praxair Distriution Mid-Atlantic,POLICE,09/01/2010,09/15/2011,$12500.00,$12407.92,$92.08
P514640:0,Evidence Tape,00001873,Lynn Peavey Company,POLICE,09/01/2010,08/31/2012,$18000.00,$10191.30,$7808.70
P514641:0,Vials & Caps for BCPD Crime Lab,00001531, Laboratory Supply Distributors Bio Tech Solutions,POLICE,09/01/2010,08/31/2011,$23640.00,$945.00,$22695.00
P514642:0,Printing Supplies,00006649,LS Patton Printing Supplies,BUREAU OF PURCHASES,09/01/2010,08/31/2011,$10000.00,$4010.93,$5989.07
P514646:0,Saw and Mower Repair,00003977,"Finch Services, Inc.",FIRE,09/02/2010,09/01/2011,$4995.00,$222.98,$4772.02
P514649:0,Various Tools and Parts for Water Supply Repairs,00001317,USABLUEBOOK,PUBLIC WORKS,09/01/2010,08/31/2011,$20000.00,$15889.52,$4110.48
P514654:0,Idexx Products,00005118,"IDEXX Distribuition, Inc",PUBLIC WORKS,09/09/2010,09/08/2011,$5850.00,$5850.00,$0.00
P514659:0,Birth Control- Plan B,00017854,TEVA Pharmaceuticals,HEALTH,09/01/2010,08/31/2012,$20000.00,$9900.00,$10100.00
P514664:0,Quarterly Air Compressor Testing,00001359,LBS ENTERPRISES INC.,FIRE,07/28/2010,07/27/2011,$6750.00,$3240.00,$3510.00
P514691:0,Repairs to Infrared Camera,00006472,Critical Imaging LLC,FIRE,07/28/2010,07/27/2012,$19000.00,$18022.44,$977.56
P514715:0,Clinical supplies for  Outreach ,00001131,southeastern emergency equipment,HEALTH,09/29/2010,09/28/2011,$18372.27,$18372.27,$0.00
P514739:0,Instrument Consumables for Drug Lab,00003174,Agilent Technologies,POLICE,09/01/2010,08/31/2012,$30224.10,$26638.11,$3585.99
P514740:0,Consumables for Mobile lab Unit,00003215,Arrowhead Forensics,POLICE,09/01/2010,08/31/2011,$16548.00,$16548.00,$0.00
P514776:0,CEFINASE-BDC LAB,00002734,Fisher Scientific,HEALTH,09/17/2010,09/16/2011,$3606.30,$3606.30,$0.00
P514787:0,Traffic Signal Poles,00004784,Valmont Industries,TRANSPORTATION,09/15/2010,09/14/2013,$325000.00,$0.00,$325000.00
P514788:0,Supplies for the Epson 9600 plotter,00003460,MARTIN SUPPLY INC.,BUREAU OF PURCHASES,09/01/2010,08/31/2011,$18000.00,$5970.85,$12029.15
P514789:0,"Athletic Wear (T-shirts, shorts, etc)",00002772,Nightmare Graphics Inc.,City-Wide,09/15/2010,06/16/2013,$417875.00,$273676.77,$144198.23
P514792:0,Consumables for Trace Lab,00002734,Fisher Scientific,POLICE,09/01/2010,09/30/2011,$14000.00,$821.17,$13178.83
P514800:0,Hamada Supplies and parts- 2010,00006722,G E Richards' Graphic Supply,BUREAU OF PURCHASES,09/15/2010,09/29/2011,$10000.00,$4597.95,$5402.05
P514813:0,Stretcher Repair,00001813,PRO-FIX MEDICAL REPAIR AND SALES LLC,FIRE,09/29/2010,09/28/2011,$65000.00,$37736.92,$27263.08
P514825:0,Data Card Machine Supplies,00001682,"Continental Plastic Card, Inc",GENERAL SERVICES,09/23/2010,09/22/2011,$2000.00,$1375.00,$625.00
P514829:0,Forensic Supplies for Mobile Crime Lab,00010683,"Sirchie Acquisition Company, LLC",POLICE,09/29/2010,09/28/2012,$32000.00,$13893.55,$18106.45
P514830:0,Preventative Maintenance of Photographic Equipment,00008478,"KHALL SOLUTIONS, LLC",POLICE,11/30/2010,11/29/2011,$9600.00,$8000.00,$1600.00
P514831:0,Dog Food & Supplies for the K-9 Unit,00006729,"Town & Country Pet Supply, Inc.",POLICE,09/22/2010,10/31/2011,$14000.00,$12338.86,$1661.14
P514834:0,OEM Parts and Service for FUSO Mitsubishi ,00000753,Waste Equipment Sales & Service,GENERAL SERVICES,10/01/2010,09/30/2013,$1725000.00,$892924.61,$832075.39
P514837:0,Janitorial Services - Branch #8,00002551,Alty cleaning service inc.,ENOCH PRATT FREE LIBRARY,10/20/2010,10/27/2011,$6480.00,$6480.00,$0.00
P514854:0,"Large Water Meter Testing, Repairing, & Replacing",00001557,Vanguard Utility Service,PUBLIC WORKS,10/14/2010,10/13/2012,$782789.35,$440223.20,$342566.15
P514856:0,"Parts and Repair Service for Muncie Pumps, Power Take Offs and Valves",00015289,R&M Equipment Co,GENERAL SERVICES,09/16/2010,09/15/2013,$210000.00,$0.00,$210000.00
P514890:0,S Series Balto Std hydrant parts,00000693,Mueller Co.,PUBLIC WORKS,09/28/2010,09/27/2011,$58068.10,$38068.10,$20000.00
P514902:0,"12,000 Gallons of Propane",00014799,"Ferrellgas, LP",TRANSPORTATION,10/06/2010,10/03/2012,$19080.00,$14313.84,$4766.16
P514906:0,Automated Titration System and Accessories ,00006895,MettlerToledo,PUBLIC WORKS,08/31/2010,08/30/2012,$49618.10,$29617.10,$20001.00
P514910:0, Sulfur Dioxide Liquid 2010-2011,00000490,Univar USA Inc.,PUBLIC WORKS,10/15/2010,10/14/2012,$689000.00,$350028.00,$338972.00
P514911:0,Clinic supplies - DHD STD Clinic ,00002685,cole medical inc,HEALTH,10/06/2010,10/05/2012,$34574.28,$22024.88,$12549.40
P514923:0,EHD/STD CLINIC NEEDLES/SPECULUMS,00001131,southeastern emergency equipment,HEALTH,10/06/2010,10/05/2012,$18437.06,$13276.37,$5160.69
P514925:0,Police Report Service: Revenue Contract,00014733,PoliceReports.US,POLICE,09/22/2010,09/21/2015,$0.01,$0.00,$0.01
P514944:0,"Computer Hardware, Software, & Related Equipment",00000084,Applied Technology Services,City-Wide,08/11/2010,08/10/2013,$270000.00,$96150.72,$173849.28
P514945:0,"Dell Computer Hardware, Software, & Related Equipment + Other brands",00001061,"Data Networks of America, Inc.",City-Wide,08/11/2010,08/10/2013,$3720000.00,$1058804.47,$2661195.53
P514946:0,"Computer Hardware, Software, & Related Equipment",00001207,"Hartford Computer Group, Inc. dba HCGI Hartford",City-Wide,08/11/2010,08/10/2013,$250000.00,$198357.75,$51642.25
P514947:0,"Computer Hardware, Software, & Related Equipment",00001250,"PC Mall Gov, Inc.",City-Wide,08/11/2010,08/10/2013,$630000.00,$367082.70,$262917.30
P514948:0,"Computer Hardware, Software, & Related Equipment",00001899,Communications Supply Corporation,City-Wide,08/11/2010,08/10/2013,$50000.00,$0.00,$50000.00
P514949:0,"Computer Hardware, Software, & Related Equipment",00002448,USC Canterbury,City-Wide,08/11/2010,08/10/2013,$3300000.00,$2051747.27,$1248252.73
P514950:0,"Computer Hardware, Software, & Related Equipment",00002473,Digicon Corporation,City-Wide,08/11/2010,08/10/2013,$5400000.00,$2490636.34,$2909363.66
P514951:0,"Computer Hardware, Software, & Related Equipment",00003467,SHI,City-Wide,08/11/2010,08/10/2013,$2420000.00,$814439.67,$1605560.33
P514952:0,"Computer Hardware, Software, & Related Equipment",00004665,"ePlus Technology, Inc.",City-Wide,08/11/2010,08/10/2013,$200000.00,$0.00,$200000.00
P514953:0,"Computer Hardware, Software, & Related Equipment",00005710,Daly Computers,City-Wide,08/11/2010,08/10/2013,$750000.00,$432901.12,$317098.88
P514954:0,"Computer Hardware, Software, & Related Equipment",00014417,En-Net Services LLC,City-Wide,08/11/2010,08/10/2013,$320000.00,$76475.86,$243524.14
P514955:0,"Computer Hardware, Software, & Related Equipment",00014839,Softnet Solutions,City-Wide,08/11/2010,08/10/2013,$50000.00,$0.00,$50000.00
P514956:0,"Computer Hardware, Software, & Related Equipment",00016737,Carousel Industries,City-Wide,08/11/2010,08/10/2013,$100000.00,$0.00,$100000.00
P514957:0,"Computer Hardware, Software, & Related Equipment",00016786,Carahsoft Technology Corp,City-Wide,08/11/2010,08/10/2013,$220000.00,$61586.50,$158413.50
P514965:0,E911 Service,00010631,Verizon Select Services Inc.,POLICE,10/06/2010,11/18/2011,$1100000.00,$980754.94,$119245.06
